rank,lemma,reading,score,model_score,correction_delta,band,current,delta,core_rank,candidate_state,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,manual_review,manual_note,review_flags,exact_commonness,jlpt_exact_known,jlpt_raw_exact_known,jlpt_normalized_only_known,lesson_known,kana_preferred,rare_wago_obscure_written,kanji_surface,same_surface_risk,hard_form,soft_form,reading_inheritance,tail_guard,suspicion_full
7035,オーチャード,おーちゃーど,0.368873,0.368873,0.0,0.35-0.40,0.368873,0.0,12560.0,normal_vocab,,,,,,,,,,,0.016218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7036,フレッシュマン,ふれっしゅまん,0.36889,0.36889,0.0,0.35-0.40,0.36889,0.0,23544.0,normal_vocab,,,,,,,,,,,0.016218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7037,政令,せいれい,0.368975,0.368975,0.0,0.35-0.40,0.368975,0.0,11065.0,normal_vocab,,,,,,,,,,,0.308099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.241901
7038,外来,がいらい,0.369008,0.369008,0.0,0.35-0.40,0.369008,0.0,3703.0,normal_vocab,,,,,,,,,,,0.754273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7039,区画,くかく,0.369025,0.369025,0.0,0.35-0.40,0.369025,0.0,6838.0,normal_vocab,,,,,,,,,,,0.469273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.230649
7040,筆者,ひっしゃ,0.369042,0.369042,0.0,0.35-0.40,0.369042,0.0,4408.0,normal_vocab,,,,,,,,,,,0.690182,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7041,打ち合わせ,うちあわせ,0.369059,0.369059,0.0,0.35-0.40,0.369059,0.0,4083.0,normal_vocab,,,,,,,,,,,0.719727,1.0,1.0,0.0,0.0,0.0,0.273289,1.0,0.0,1.0,1.0,1.0,1.0,0.0
7042,しつこい,しつこい,0.369076,0.369076,0.0,0.35-0.40,0.369076,0.0,8378.0,normal_vocab,,,,,,,,,,,0.329273,1.0,1.0,0.0,0.0,1.0,0.033924,0.0,0.0,0.0,1.0,0.0,0.044788,0.441455
7043,喪失,そうしつ,0.369093,0.369093,0.0,0.35-0.40,0.369093,0.0,6838.0,normal_vocab,,,,,,,,,,,0.469273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7044,遣り取り,やりとり,0.369109,0.369109,0.0,0.35-0.40,0.310766,0.058343,3703.0,normal_vocab,,,,,,,,,,,0.754273,0.0,0.0,0.0,0.0,1.0,0.225066,1.0,0.0,0.0,1.0,1.0,0.225066,0.0
7045,局面,きょくめん,0.36911,0.36911,0.0,0.35-0.40,0.36911,0.0,3497.0,normal_vocab,,,,,,,,,,,0.773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7046,支部,しぶ,0.369144,0.369144,0.0,0.35-0.40,0.369144,0.0,6126.0,normal_vocab,,,,,,,,,,,0.534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.016
7047,マーチ,まーち,0.369161,0.369161,0.0,0.35-0.40,0.369161,0.0,11065.0,normal_vocab,,,,,,,,,,,0.115749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7048,被せる,かぶせる,0.369178,0.369178,0.0,0.35-0.40,0.369178,0.0,7789.0,normal_vocab,,,,,,,,,,,0.382818,1.0,1.0,0.0,0.0,1.0,0.195458,1.0,0.0,0.0,1.0,1.0,0.195458,0.477662
7049,こっそり,こっそり,0.369195,0.369195,0.0,0.35-0.40,0.369195,0.0,7789.0,normal_vocab,,,,,,,,,,,0.382818,1.0,1.0,0.0,0.0,0.0,0.034082,0.0,0.0,0.0,0.0,0.0,0.046076,0.022009
7050,幹事,かんじ,0.369212,0.369212,0.0,0.35-0.40,0.369212,0.0,2046.0,normal_vocab,,,,,,,,,,,0.904909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7051,広大,こうだい,0.369229,0.369229,0.0,0.35-0.40,0.369229,0.0,6838.0,normal_vocab,,,,,,,,,,,0.469273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.080727
7052,断つ,たつ,0.369246,0.369246,0.0,0.35-0.40,0.369246,0.0,5331.0,normal_vocab,,,,,,,,,,,0.606273,1.0,0.0,1.0,0.0,0.0,0.18729,1.0,0.0,1.0,0.0,1.0,0.18729,0.0
7053,カフェイン,かふぇいん,0.369263,0.369263,0.0,0.35-0.40,0.369263,0.0,23544.0,normal_vocab,,,,,,,,,,,0.115494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7054,外見,がいけん,0.36928,0.36928,0.0,0.35-0.40,0.36928,0.0,6838.0,normal_vocab,,,,,,,,,,,0.469273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.060545
7055,フェローシップ,ふぇろーしっぷ,0.369297,0.369297,0.0,0.35-0.40,0.369297,0.0,17861.0,normal_vocab,,,,,,,,,,,0.015471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7056,経,けい,0.369298,0.369298,0.0,0.35-0.40,0.277112,0.092187,,normal_vocab,,,,,,,,,,,0.152945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0
7057,リクード,りくーど,0.369314,0.369314,0.0,0.35-0.40,0.369314,0.0,23544.0,normal_vocab,,,,,,,,,,,0.015471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7058,腸,ちょう,0.369415,0.369415,0.0,0.35-0.40,0.369415,0.0,17861.0,normal_vocab,,,,,,,,,,,0.216639,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.95246
7059,借り入れ,かりいれ,0.369432,0.369432,0.0,0.35-0.40,0.369432,0.0,5133.0,normal_vocab,,,,,,,,,,,0.624273,0.0,0.0,0.0,0.0,0.0,0.154709,1.0,0.0,0.0,0.0,1.0,0.154709,0.0
7060,類似,るいじ,0.369449,0.369449,0.0,0.35-0.40,0.369449,0.0,8378.0,normal_vocab,,,,,,,,,,,0.329273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.157662
7061,指差す,ゆびさす,0.369483,0.369483,0.0,0.35-0.40,0.369483,0.0,7282.0,normal_vocab,,,,,,,,,,,0.428909,1.0,1.0,0.0,0.0,0.0,0.18372,1.0,0.0,0.0,1.0,1.0,0.18372,0.345974
7062,私立,しりつ,0.3695,0.3695,0.0,0.35-0.40,0.3695,0.0,6457.0,normal_vocab,,,,,,,,,,,0.503909,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.131688
7063,ファウル,ふぁうる,0.369517,0.369517,0.0,0.35-0.40,0.369517,0.0,14690.0,normal_vocab,,,,,,,,,,,0.115239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7064,下旬,げじゅん,0.369534,0.369534,0.0,0.35-0.40,0.369534,0.0,3953.0,normal_vocab,,,,,,,,,,,0.731545,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
7065,言,げん,0.369551,0.369551,0.0,0.35-0.40,0.369551,0.0,11065.0,normal_vocab,,,,,,,,,,,0.194716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.126242
7066,四角,しかく,0.369568,0.369568,0.0,0.35-0.40,0.369568,0.0,11065.0,normal_vocab,,,,,,,,,,,0.183791,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7067,広まる,ひろまる,0.369585,0.369585,0.0,0.35-0.40,0.369585,0.0,11065.0,normal_vocab,,,,,,,,,,,0.21621,1.0,1.0,0.0,0.0,0.0,0.160816,1.0,0.0,0.0,0.0,1.0,0.160816,0.953686
7068,煽る,あおる,0.369597,0.369597,0.0,0.35-0.40,0.369127,0.00047,7282.0,normal_vocab,,,,,,,,,,,0.428909,0.0,0.0,0.0,0.0,0.0,0.279648,1.0,0.0,0.0,0.0,1.0,0.279648,0.121091
7069,持ち出す,もちだす,0.369602,0.369602,0.0,0.35-0.40,0.369602,0.0,5551.0,normal_vocab,,,,,,,,,,,0.586273,0.0,0.0,0.0,0.0,0.0,0.134608,1.0,0.0,0.0,0.0,1.0,0.134608,0.0
7070,デッド,でっど,0.369619,0.369619,0.0,0.35-0.40,0.369619,0.0,23544.0,normal_vocab,,,,,,,,,,,0.114983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35
7071,兼,けん,0.369636,0.369636,0.0,0.35-0.40,0.369636,0.0,3497.0,normal_vocab,,,,,,,,,,,0.773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0
7072,潮,しお,0.369675,0.369675,0.0,0.35-0.40,0.364398,0.005276,17861.0,normal_vocab,,,,,,,,,,,0.224358,0.0,0.0,0.0,0.0,0.0,0.244327,1.0,0.0,0.0,0.0,0.25,0.244327,0.232601
7073,肝臓,かんぞう,0.369686,0.369686,0.0,0.35-0.40,0.369686,0.0,7789.0,normal_vocab,,,,,,,,,,,0.382818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7074,弱点,じゃくてん,0.369703,0.369703,0.0,0.35-0.40,0.369703,0.0,9898.0,normal_vocab,,,,,,,,,,,0.191091,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7075,怒鳴る,どなる,0.36972,0.36972,0.0,0.35-0.40,0.36972,0.0,9898.0,normal_vocab,,,,,,,,,,,0.245913,1.0,1.0,0.0,0.0,0.0,0.184751,1.0,0.0,0.0,1.0,1.0,0.184751,0.86882
7076,ナチュラリスト,なちゅらりすと,0.369737,0.369737,0.0,0.35-0.40,0.369737,0.0,23544.0,normal_vocab,,,,,,,,,,,0.014718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7077,ロカビリー,ろかびりー,0.369754,0.369754,0.0,0.35-0.40,0.369754,0.0,23544.0,normal_vocab,,,,,,,,,,,0.014718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7078,ハゲ,はげ,0.36989,0.36989,0.0,0.35-0.40,0.36989,0.0,,deprioritized_vocab,,,,,,,,,,,0.014718,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.985282,0.344849
7079,ふざける,ふざける,0.369941,0.369941,0.0,0.35-0.40,0.369941,0.0,14690.0,normal_vocab,,,,,,,,,,,0.188084,1.0,1.0,0.0,0.0,1.0,0.035521,0.0,0.0,0.0,1.0,0.0,0.057827,0.7
7080,親族,しんぞく,0.369958,0.369958,0.0,0.35-0.40,0.369958,0.0,6457.0,normal_vocab,,,,,,,,,,,0.503909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.046091
7081,少量,しょうりょう,0.369975,0.369975,0.0,0.35-0.40,0.369975,0.0,6457.0,normal_vocab,,,,,,,,,,,0.503909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.011523
7082,見極める,みきわめる,0.369992,0.369992,0.0,0.35-0.40,0.369992,0.0,5551.0,normal_vocab,,,,,,,,,,,0.586273,0.0,0.0,0.0,0.0,0.0,0.192844,1.0,0.0,1.0,0.0,1.0,0.203202,0.0
7083,喫煙,きつえん,0.370008,0.370008,0.0,0.35-0.40,0.370008,0.0,9898.0,normal_vocab,,,,,,,,,,,0.252713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.0,0.208101
7084,信者,しんじゃ,0.370025,0.370025,0.0,0.35-0.40,0.370025,0.0,9024.0,normal_vocab,,,,,,,,,,,0.270545,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.798441
7085,洗面,せんめん,0.370042,0.370042,0.0,0.35-0.40,0.370042,0.0,7282.0,normal_vocab,,,,,,,,,,,0.428909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121091
7086,任命,にんめい,0.370059,0.370059,0.0,0.35-0.40,0.370059,0.0,9024.0,normal_vocab,,,,,,,,,,,0.270545,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.598831
7087,シネマ,しねま,0.370093,0.370093,0.0,0.35-0.40,0.370093,0.0,9024.0,normal_vocab,,,,,,,,,,,0.270545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7088,ウェブサイト,うぇぶさいと,0.37011,0.37011,0.0,0.35-0.40,0.37011,0.0,23544.0,normal_vocab,,,,,,,,,,,0.114468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35
7089,遂行,すいこう,0.370127,0.370127,0.0,0.35-0.40,0.370127,0.0,7282.0,normal_vocab,,,,,,,,,,,0.428909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121091
7090,垂れる,たれる,0.370144,0.370144,0.0,0.35-0.40,0.370144,0.0,11065.0,normal_vocab,,,,,,,,,,,0.214473,1.0,1.0,0.0,0.0,0.0,0.247441,1.0,0.0,0.0,0.0,1.0,0.247441,0.958649
7091,啓発,けいはつ,0.370161,0.370161,0.0,0.35-0.40,0.370161,0.0,1911.0,normal_vocab,,,,,,,,,,,0.917182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7092,予告,よこく,0.370178,0.370178,0.0,0.35-0.40,0.370178,0.0,9024.0,normal_vocab,,,,,,,,,,,0.270545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.069864
7093,気力,きりょく,0.370195,0.370195,0.0,0.35-0.40,0.370195,0.0,9024.0,normal_vocab,,,,,,,,,,,0.270545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.139727
7094,反論,はんろん,0.370212,0.370212,0.0,0.35-0.40,0.370212,0.0,4556.0,normal_vocab,,,,,,,,,,,0.676727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
7095,繊細,せんさい,0.370229,0.370229,0.0,0.35-0.40,0.370229,0.0,7789.0,normal_vocab,,,,,,,,,,,0.382818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7096,効力,こうりょく,0.370246,0.370246,0.0,0.35-0.40,0.370246,0.0,9898.0,normal_vocab,,,,,,,,,,,0.268666,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.401906
7097,上品,じょうひん,0.370263,0.370263,0.0,0.35-0.40,0.370263,0.0,4911.0,normal_vocab,,,,,,,,,,,0.644455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7098,こそ,こそ,0.37028,0.37028,0.0,0.35-0.40,0.37028,0.0,,normal_vocab,,,,,,,,,,,0.015471,0.0,0.0,0.0,0.0,1.0,0.021537,0.0,0.0,0.0,1.0,0.0,0.984529,0.344585
7099,理性,りせい,0.370297,0.370297,0.0,0.35-0.40,0.370297,0.0,12560.0,normal_vocab,,,,,,,,,,,0.246721,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.866511
7100,性的,せいてき,0.370314,0.370314,0.0,0.35-0.40,0.370314,0.0,5831.0,normal_vocab,,,,,,,,,,,0.560818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
7101,引き上げ,ひきあげ,0.370331,0.370331,0.0,0.35-0.40,0.370331,0.0,6457.0,normal_vocab,,,,,,,,,,,0.503909,0.0,0.0,0.0,0.0,0.0,0.154102,1.0,0.0,0.0,0.0,1.0,0.154102,0.046091
7102,与党,よとう,0.370347,0.370347,0.0,0.35-0.40,0.370347,0.0,2845.0,normal_vocab,,,,,,,,,,,0.832273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
7103,気合い,きあい,0.370364,0.370364,0.0,0.35-0.40,0.370364,0.0,7789.0,normal_vocab,,,,,,,,,,,0.382818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.167182
7104,新設,しんせつ,0.370381,0.370381,0.0,0.35-0.40,0.370381,0.0,3607.0,normal_vocab,,,,,,,,,,,0.763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7105,遺言,ゆいごん,0.37043,0.37043,0.0,0.35-0.40,0.368161,0.002269,,normal_vocab,,,,,,,,,,,0.251663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.42657
7106,御早う,おはよう,0.370433,0.370433,0.0,0.35-0.40,0.304236,0.066197,7282.0,normal_vocab,,,,,,,,,,,0.428909,0.0,0.0,0.0,0.0,1.0,0.190555,1.0,0.0,1.0,1.0,1.0,0.190555,0.345974
7107,円高,えんだか,0.370466,0.370466,0.0,0.35-0.40,0.370466,0.0,7282.0,normal_vocab,,,,,,,,,,,0.428909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121091
7108,好評,こうひょう,0.370483,0.370483,0.0,0.35-0.40,0.370483,0.0,5331.0,normal_vocab,,,,,,,,,,,0.606273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7109,分担,ぶんたん,0.3705,0.3705,0.0,0.35-0.40,0.3705,0.0,4715.0,normal_vocab,,,,,,,,,,,0.662273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
7110,響き,ひびき,0.370517,0.370517,0.0,0.35-0.40,0.370517,0.0,6126.0,normal_vocab,,,,,,,,,,,0.534,1.0,1.0,0.0,0.0,1.0,0.242593,1.0,0.0,0.0,1.0,1.0,0.273791,0.045714
7111,演劇,えんげき,0.370534,0.370534,0.0,0.35-0.40,0.370534,0.0,2781.0,normal_vocab,,,,,,,,,,,0.838091,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7112,イーグル,いーぐる,0.370551,0.370551,0.0,0.35-0.40,0.370551,0.0,23544.0,normal_vocab,,,,,,,,,,,0.113692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7113,分配,ぶんぱい,0.370585,0.370585,0.0,0.35-0.40,0.370585,0.0,11065.0,normal_vocab,,,,,,,,,,,0.24293,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.877343
7114,フィギュア,ふぃぎゅあ,0.370592,0.370592,0.0,0.35-0.40,0.343459,0.027133,8378.0,normal_vocab,,,,,,,,,,,0.329273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.220727
7115,周期,しゅうき,0.370602,0.370602,0.0,0.35-0.40,0.370602,0.0,9898.0,normal_vocab,,,,,,,,,,,0.23192,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9088
7116,液晶,えきしょう,0.370619,0.370619,0.0,0.35-0.40,0.370619,0.0,6457.0,normal_vocab,,,,,,,,,,,0.503909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.046091
7117,諸島,しょとう,0.370669,0.370669,0.0,0.35-0.40,0.370669,0.0,6457.0,normal_vocab,,,,,,,,,,,0.503909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7118,踵,かかと,0.370686,0.370686,0.0,0.35-0.40,0.370686,0.0,11065.0,normal_vocab,,,,,,,,,,,0.195148,1.0,1.0,0.0,0.0,1.0,0.281698,1.0,0.0,0.0,1.0,0.0,0.285023,0.7
7119,遅く,おそく,0.370691,0.370691,0.0,0.35-0.40,0.143305,0.227386,12560.0,normal_vocab,,,,,,,,,,,0.169003,0.0,0.0,0.0,0.0,0.0,0.581698,1.0,0.0,0.0,0.0,0.169003,0.581698,0.203594
7120,海賊,かいぞく,0.370703,0.370703,0.0,0.35-0.40,0.370703,0.0,23544.0,normal_vocab,,,,,,,,,,,0.199679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.35
7121,獅子,しし,0.37072,0.37072,0.0,0.35-0.40,0.37072,0.0,17861.0,normal_vocab,,,,,,,,,,,0.206801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.343199
7122,ループ,るーぷ,0.37073,0.37073,0.0,0.35-0.40,0.327214,0.043516,,normal_vocab,,,,,,,,,,,0.172515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827485,0.28962
7123,コンビナート,こんびなーと,0.370737,0.370737,0.0,0.35-0.40,0.370737,0.0,9898.0,normal_vocab,,,,,,,,,,,0.191091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7124,ファスナー,ふぁすなー,0.370754,0.370754,0.0,0.35-0.40,0.370754,0.0,9898.0,normal_vocab,,,,,,,,,,,0.191091,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7125,探検,たんけん,0.370788,0.370788,0.0,0.35-0.40,0.370788,0.0,9024.0,normal_vocab,,,,,,,,,,,0.270545,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7126,取り消し,とりけし,0.370805,0.370805,0.0,0.35-0.40,0.370805,0.0,6126.0,normal_vocab,,,,,,,,,,,0.534,0.0,0.0,0.0,0.0,0.0,0.180673,1.0,0.0,0.0,0.0,1.0,0.180673,0.016
7127,差し込む,さしこむ,0.370807,0.370807,0.0,0.35-0.40,0.343798,0.027009,8378.0,normal_vocab,,,,,,,,,,,0.329273,0.0,0.0,0.0,0.0,0.0,0.187565,1.0,0.0,1.0,0.0,1.0,0.187565,0.220727
7128,現に,げんに,0.370839,0.370839,0.0,0.35-0.40,0.370839,0.0,9898.0,normal_vocab,,,,,,,,,,,0.257298,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.418146
7129,家電,かでん,0.370856,0.370856,0.0,0.35-0.40,0.370856,0.0,4083.0,normal_vocab,,,,,,,,,,,0.719727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
7130,採取,さいしゅ,0.370873,0.370873,0.0,0.35-0.40,0.370873,0.0,4257.0,normal_vocab,,,,,,,,,,,0.703909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0
7131,元素,げんそ,0.37089,0.37089,0.0,0.35-0.40,0.37089,0.0,,normal_vocab,,,,,,,,,,,0.22561,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.926829
7132,品目,ひんもく,0.370907,0.370907,0.0,0.35-0.40,0.370907,0.0,3023.0,normal_vocab,,,,,,,,,,,0.816091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7133,レタリング,れたりんぐ,0.370924,0.370924,0.0,0.35-0.40,0.370924,0.0,23544.0,normal_vocab,,,,,,,,,,,0.013194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7134,衣,ころも,0.371007,0.371007,0.0,0.35-0.40,0.366568,0.00444,11065.0,normal_vocab,,,,,,,,,,,0.21035,0.0,0.0,0.0,0.0,0.0,0.193464,1.0,0.0,0.0,0.0,0.0,0.193464,0.099874
7135,タップ,たっぷ,0.371076,0.371076,0.0,0.35-0.40,0.371076,0.0,9898.0,normal_vocab,,,,,,,,,,,0.191091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7136,町中,まちなか,0.371093,0.371093,0.0,0.35-0.40,0.371093,0.0,5831.0,normal_vocab,,,,,,,,,,,0.560818,0.0,0.0,0.0,0.0,0.0,0.124457,1.0,0.0,1.0,0.0,0.5,0.124457,0.0
7137,マウンド,まうんど,0.37111,0.37111,0.0,0.35-0.40,0.37111,0.0,17861.0,normal_vocab,,,,,,,,,,,0.112909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7138,糊,のり,0.371127,0.371127,0.0,0.35-0.40,0.371127,0.0,8378.0,normal_vocab,,,,,,,,,,,0.329273,1.0,1.0,0.0,0.0,0.0,0.248128,1.0,0.0,0.0,0.0,0.0,0.255121,0.160892
7139,前線,ぜんせん,0.371144,0.371144,0.0,0.35-0.40,0.371144,0.0,5331.0,normal_vocab,,,,,,,,,,,0.606273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0
7140,異議,いぎ,0.371161,0.371161,0.0,0.35-0.40,0.371161,0.0,12560.0,normal_vocab,,,,,,,,,,,0.257298,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.418146
7141,貧困,ひんこん,0.371195,0.371195,0.0,0.35-0.40,0.371195,0.0,4715.0,normal_vocab,,,,,,,,,,,0.662273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7142,混合,こんごう,0.371212,0.371212,0.0,0.35-0.40,0.371212,0.0,11065.0,normal_vocab,,,,,,,,,,,0.235551,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.898426
7143,動員,どういん,0.371229,0.371229,0.0,0.35-0.40,0.371229,0.0,4715.0,normal_vocab,,,,,,,,,,,0.662273,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0
7144,牧場,ぼくじょう,0.37128,0.37128,0.0,0.35-0.40,0.37128,0.0,9898.0,normal_vocab,,,,,,,,,,,0.207843,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.733194
7145,訳す,やくす,0.371297,0.371297,0.0,0.35-0.40,0.371297,0.0,6457.0,normal_vocab,,,,,,,,,,,0.503909,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
