rank,lemma,reading,score,model_score,correction_delta,band,spalex_rank,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,review_flags,translations,wordfreq_zipf,learner_source_known,learner_source_count,cognate_rescue,false_friend_caution,pos_function_risk,pos_other_risk,dict_marked_usage_risk,weak_form_risk,dictionary_sense_count,dictionary_entry_count,dictionary_marked_terms
5836,condominio,,0.468256,0.468256,0.0,0.45-0.50,17605.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","apartment building, condominium, condo; co-ownership",3.21,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.1,2,1,
5837,salvador,,0.46827,0.46827,0.0,0.45-0.50,1148.0,normal_vocab,noun,noun,,,,,,,,,a male given name; savior,4.65,1.0,0.333333,0.094023,0.039396,0.0,0.0,0.0,0.033333,2,2,
5838,pañal,,0.468271,0.468271,0.0,0.45-0.50,19106.0,normal_vocab,noun,noun,,,,,,,,,"diaper, nappy",3.2,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.03,1,1,
5839,manita,,0.46828,0.46828,0.0,0.45-0.50,19986.0,normal_vocab,noun,noun,,,,,,,,missing_translation,,2.86,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
5840,trotar,,0.468307,0.468307,0.0,0.45-0.50,19047.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",to trot (to move at a gait between a walk and a canter); to jog,2.9,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,1,
5841,boutique,,0.468323,0.468323,0.0,0.45-0.50,17457.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",boutique,3.03,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.033333,1,1,
5842,superioridad,,0.468333,0.468333,0.0,0.45-0.50,3385.0,normal_vocab,noun,noun,,,,,,,,,superiority (betterness),3.82,1.0,0.333333,0.162123,0.0,0.0,0.0,0.0,0.166667,1,1,
5843,máxima,,0.468433,0.468433,0.0,0.45-0.50,1034.0,normal_vocab,adjective,adjective,,,,,,,,,maxim; maximum (temperature),4.53,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.02,2,1,
5844,subjefe,,0.468442,0.468442,0.0,0.45-0.50,16992.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","deputy chief; sous-chef, assistant chef",2.84,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,1,
5845,retorno,,0.468583,0.468583,0.0,0.45-0.50,2056.0,normal_vocab,noun,noun,,,,,,,,,return,4.19,1.0,0.333333,0.263499,0.0,0.0,0.0,0.0,0.0,1,1,
5846,desaparición,,0.468599,0.468599,0.0,0.45-0.50,1987.0,normal_vocab,noun,noun,,,,,,,,,disappearance; demise,4.27,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.186667,2,1,
5847,comandante,,0.468712,0.468712,0.0,0.45-0.50,1345.0,normal_vocab,noun,noun,,,,,,,,,commander,4.63,1.0,0.333333,0.149107,0.0,0.0,0.0,0.0,0.1,1,1,
5848,alpaca,,0.468713,0.468713,0.0,0.45-0.50,17029.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",alpaca,2.86,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5849,barón,,0.468751,0.468751,0.0,0.45-0.50,2729.0,normal_vocab,noun,noun,,,,,,,,,"baron (male ruler of a barony); baron, bigwig (person of great power in society, especially in business and politics)",3.73,1.0,0.333333,0.398085,0.086698,0.0,0.0,0.0,0.02,2,1,
5850,autorización,,0.468795,0.468795,0.0,0.45-0.50,2265.0,normal_vocab,noun,noun,,,,,,,,,authorization,4.39,1.0,0.333333,0.28424,0.0,0.0,0.0,0.0,0.186667,1,1,
5851,fiambre,,0.46895,0.46895,0.0,0.45-0.50,17573.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar,marked_usage","corpse; cold cuts, cold meat; a type of salad containing cold meats traditionally served on all saints' day.",2.88,1.0,0.333333,0.0,0.0,0.65,1.0,1.0,0.0,3,1,informal
5852,reproducción,,0.468951,0.468951,0.0,0.45-0.50,2378.0,normal_vocab,noun,noun,,,,,,,,,"reproduction, procreation (the act of reproducing new individuals biologically); reproduction (the act of making copies); reproduction, copy, duplicate (a copy of something, as in a piece of art; a duplicate)",4.31,1.0,0.333333,0.291715,0.174964,0.0,0.0,0.0,0.186667,6,1,
5853,chiva,,0.469021,0.469021,0.0,0.45-0.50,17094.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar,marked_usage","blanket, coverlet; goatee, beard; shutout in a game of dominoes",2.86,1.0,0.333333,0.0,0.0,0.65,1.0,1.0,0.0,6,1,slang
5854,pomada,,0.469096,0.469096,0.0,0.45-0.50,19213.0,normal_vocab,noun,noun,,,,,,,,missing_translation,,3.04,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
5855,apetecer,,0.469104,0.469104,0.0,0.45-0.50,19050.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","to feel like, to fancy; would like, to be down for (us slang)",1.96,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.033333,1,1,
5856,compasión,,0.469134,0.469134,0.0,0.45-0.50,3326.0,normal_vocab,noun,noun,,,,,,,,,compassion; sympathy,3.92,1.0,0.333333,0.391092,0.07469,0.0,0.0,0.0,0.086667,2,1,
5857,interminable,,0.469222,0.469222,0.0,0.45-0.50,5299.0,normal_vocab,adjective,adjective,,,,,,,,,interminable; unending,3.67,1.0,0.333333,0.321746,0.086698,0.0,0.0,0.0,0.166667,2,1,
5858,calza,,0.469237,0.469237,0.0,0.45-0.50,18444.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","stocking, sock; leggings",3.06,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,1,
5859,albahaca,,0.469284,0.469284,0.0,0.45-0.50,18445.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",basil (plant or culinary herb),2.88,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.033333,1,1,
5860,negra,,0.469325,0.469325,0.0,0.45-0.50,1046.0,normal_vocab,adjective,adjective,,,,,,,,,"crotchet, quarter note; black piece; bad luck",4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,
5861,investigador,,0.469342,0.469342,0.0,0.45-0.50,3338.0,normal_vocab,noun,noun,,,,,,,,,"researching, investigating; researcher, investigator",4.2,1.0,0.333333,0.390974,0.123959,0.0,0.0,0.0,0.166667,2,2,
5862,asilo,,0.469401,0.469401,0.0,0.45-0.50,1928.0,normal_vocab,noun,noun,,,,,,,,,"shelter, refuge; asylum (home); asylum (political asylum)",4.01,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,5,1,
5863,excepcional,,0.469496,0.469496,0.0,0.45-0.50,2985.0,normal_vocab,adjective,adjective,,,,,,,,,exceptional,4.01,1.0,0.333333,0.366765,0.0,0.0,0.0,0.0,0.133333,1,1,
5864,pitar,,0.469509,0.469509,0.0,0.45-0.50,18414.0,normal_vocab,noun,noun,,,,,,,,,"to whistle, buzz, beep, honk, puff; to referee, call (to make a decision as a referee or umpire)",2.44,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,2,1,
5865,ingeniería,,0.469621,0.469621,0.0,0.45-0.50,1567.0,normal_vocab,noun,noun,,,,,,,,,engineering,4.49,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.12,1,1,
5866,termo,,0.469717,0.469717,0.0,0.45-0.50,19270.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","thermos, vacuum flask; water heater",3.31,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,2,
5867,loción,,0.469757,0.469757,0.0,0.45-0.50,21477.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",lotion,3.02,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.02,1,1,
5868,testimonio,,0.469807,0.469807,0.0,0.45-0.50,2216.0,normal_vocab,noun,noun,,,,,,,,marked_usage,testimony; witness; baton,4.31,1.0,0.333333,0.267954,0.080316,0.0,0.0,1.0,0.1,3,1,dated
5869,baldosa,,0.469872,0.469872,0.0,0.45-0.50,18829.0,normal_vocab,noun,noun,,,,,,,,missing_translation,,2.78,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
5870,decepcionar,,0.469879,0.469879,0.0,0.45-0.50,19164.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","to disappoint, to let down, to underwhelm",3.06,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.133333,1,1,
5871,fajo,,0.469923,0.469923,0.0,0.45-0.50,18171.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","bundle, wad, stack",2.84,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5872,católica,,0.469931,0.469931,0.0,0.45-0.50,1078.0,normal_vocab,noun,noun,,,,,,,,missing_translation,,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053333,0,0,
5873,compatible,,0.469949,0.469949,0.0,0.45-0.50,3869.0,normal_vocab,adjective,adjective,,,,,,,,,compatible,3.81,1.0,0.333333,0.430628,0.0,0.0,0.0,0.0,0.1,1,1,
5874,habanero,,0.46999,0.46999,0.0,0.45-0.50,18035.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",native or related to havana; an inhabitant or native of havana; a variety of hot chilli pepper,2.87,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.033333,3,3,
5875,rifa,,0.470016,0.470016,0.0,0.45-0.50,19217.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","lottery, raffle; contention, strife",3.08,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,1,
5876,impuesto,,0.470027,0.470027,0.0,0.45-0.50,1399.0,normal_vocab,noun,noun,,,,,,,,,"impost; tax, levy (money paid to the government)",4.63,1.0,0.333333,0.06203,0.021511,0.0,0.0,0.0,0.033333,2,1,
5877,gotera,,0.470031,0.470031,0.0,0.45-0.50,19371.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","leak (hole which lets escape a fluid); gutter; outskirts, surroundings",2.66,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,3,1,
5878,cremoso,,0.470135,0.470135,0.0,0.45-0.50,22421.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",creamy,2.85,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5879,elaborar,,0.470183,0.470183,0.0,0.45-0.50,2097.0,normal_vocab,verb,verb,,,,,,,,,"to make, to create; to produce, to manufacture, to develop (to yield, make or manufacture; to generate); to devise, to come up with (to use one's intellect to plan or design)",3.97,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.033333,2,1,
5880,captura,,0.470237,0.470237,0.0,0.45-0.50,2873.0,normal_vocab,noun,noun,,,,,,,,,capture; catch (that which is captured or caught); screenshot,4.25,1.0,0.333333,0.337358,0.085754,0.0,0.0,0.0,0.0,3,1,
5881,comando,,0.470244,0.470244,0.0,0.45-0.50,2544.0,normal_vocab,noun,noun,,,,,,,,,commando,4.07,1.0,0.333333,0.306869,0.0,0.0,0.0,0.0,0.0,1,1,
5882,bordar,,0.470274,0.470274,0.0,0.45-0.50,19662.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",to embroider (to stitch a decorative design on fabric with needle and thread of various colours); to ace (to do something very well),2.81,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,1,
5883,perfección,,0.470332,0.470332,0.0,0.45-0.50,2545.0,normal_vocab,noun,noun,,,,,,,,,perfection,4.15,1.0,0.333333,0.313562,0.0,0.0,0.0,0.0,0.12,1,1,
5884,hortaliza,,0.470375,0.470375,0.0,0.45-0.50,19901.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","produce, vegetable; orchard",2.43,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.066667,2,1,
5885,transformar,,0.470468,0.470468,0.0,0.45-0.50,3453.0,normal_vocab,verb,verb,,,,,,,,,to transform,3.98,1.0,0.333333,0.383678,0.0,0.0,0.0,0.0,0.133333,1,1,
5886,agrícola,,0.470471,0.470471,0.0,0.45-0.50,1209.0,normal_vocab,adjective,adjective,,,,,,,,,agricultural,4.22,1.0,0.333333,0.100247,0.0,0.0,0.0,0.0,0.053333,1,1,
5887,entusiasmar,,0.470525,0.470525,0.0,0.45-0.50,19761.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",to excite; to get excited,2.18,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.133333,2,1,
5888,eventual,,0.470593,0.470593,0.0,0.45-0.50,3736.0,normal_vocab,adjective,adjective,,,,,,,,,"potential, possible; sporadic; temporary (employee, contract)",3.73,1.0,0.333333,0.433318,0.173396,0.0,0.0,0.0,0.033333,4,1,
5889,playera,,0.470618,0.470618,0.0,0.45-0.50,21857.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","t-shirt; tennis shoes, trainers, training shoes, running shoes, runners, sneakers (sports shoe)",3.17,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,1,
5890,hindi,,0.470651,0.470651,0.0,0.45-0.50,13809.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",hindi (language),3.16,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5891,grama,,0.470668,0.470668,0.0,0.45-0.50,15524.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","grass, lawn",2.83,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5892,bordear,,0.470699,0.470699,0.0,0.45-0.50,19604.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",to border,2.29,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5893,denominado,,0.470728,0.470728,0.0,0.45-0.50,1541.0,normal_vocab,adjective,adjective,,,,,,,,,"named, called, entitled, denominated; so-called",4.13,1.0,0.333333,0.156015,0.054105,0.0,0.0,0.0,0.1,2,1,
5894,científica,,0.470755,0.470755,0.0,0.45-0.50,1509.0,normal_vocab,adjective,adjective,,,,,,,,missing_translation,,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0,
5895,comunitario,,0.470772,0.470772,0.0,0.45-0.50,1473.0,normal_vocab,adjective,adjective,,,,,,,,,community,3.9,1.0,0.333333,0.14726,0.0,0.0,0.0,0.0,0.133333,1,1,
5896,dependencia,,0.470806,0.470806,0.0,0.45-0.50,2300.0,normal_vocab,noun,noun,,,,,,,,,dependence; dependency,4.24,1.0,0.333333,0.262946,0.054105,0.0,0.0,0.0,0.133333,2,1,
5897,legión,,0.470867,0.470867,0.0,0.45-0.50,3851.0,normal_vocab,noun,noun,,,,,,,,,legion,3.65,1.0,0.333333,0.43369,0.0,0.0,0.0,0.0,0.02,1,1,
5898,zumba,,0.470911,0.470911,0.0,0.45-0.50,18536.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","bashing, beating; drunkenness; binge, bender, spree (act of consuming a large quantity)",2.94,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,4,2,
5899,eta,,0.470935,0.470935,0.0,0.45-0.50,852.0,normal_vocab,noun,noun,,,,,,,,,"eta; the greek letter η, η; eta (basque nationalist terrorist group)",4.1,0.0,0.0,0.351312,0.158779,0.0,0.0,0.0,0.0,2,2,
5900,intervenir,,0.47096,0.47096,0.0,0.45-0.50,2249.0,normal_vocab,verb,verb,,,,,,,,,to intervene; to participate,4.06,1.0,0.333333,0.272011,0.050674,0.0,0.0,0.0,0.1,2,1,
5901,rica,,0.471046,0.471046,0.0,0.45-0.50,1094.0,normal_vocab,noun,noun,,,,,,,,,fenugreek (trigonella foenum-graecum),4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
5902,divino,,0.471091,0.471091,0.0,0.45-0.50,2185.0,normal_vocab,adjective,adjective,,,,,,,,,divine; heavenly,4.05,1.0,0.333333,0.245367,0.048672,0.0,0.0,0.0,0.0,2,1,
5903,operativo,,0.471122,0.471122,0.0,0.45-0.50,2619.0,normal_vocab,adjective,adjective,,,,,,,,,operative; operation,4.21,1.0,0.333333,0.303704,0.112353,0.0,0.0,0.0,0.066667,2,2,
5904,gringa,,0.471154,0.471154,0.0,0.45-0.50,17738.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","a type of taco filled with cheese, al pastor meat, and pineapple",3.21,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5905,precedente,,0.471295,0.471295,0.0,0.45-0.50,3337.0,normal_vocab,noun,noun,,,,,,,,,"previous, preceding, foregoing; precedent",3.96,1.0,0.333333,0.38285,0.136788,0.0,0.0,0.0,0.1,2,2,
5906,conga,,0.471302,0.471302,0.0,0.45-0.50,18379.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",conga (dance),2.87,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5907,programación,,0.471313,0.471313,0.0,0.45-0.50,1700.0,normal_vocab,noun,noun,,,,,,,,,"programming, setting (action); schedule (us, canada), guide, tv guide (uk, australia), program guide, epg (tv, radio etc.); computer programming",4.43,1.0,0.333333,0.186966,0.042252,0.0,0.0,0.0,0.186667,3,1,
5908,monarca,,0.471367,0.471367,0.0,0.45-0.50,2297.0,normal_vocab,noun,noun,,,,,,,,,monarch,3.9,1.0,0.333333,0.266747,0.0,0.0,0.0,0.0,0.0,1,1,
5909,impedir,,0.471467,0.471467,0.0,0.45-0.50,1557.0,normal_vocab,verb,verb,,,,,,,,,"to impede, hinder",4.25,1.0,0.333333,0.156653,0.0,0.0,0.0,0.0,0.0,1,1,
5910,aplicable,,0.471467,0.471467,0.0,0.45-0.50,3247.0,normal_vocab,adjective,adjective,,,,,,,,,applicable,3.87,1.0,0.333333,0.367929,0.0,0.0,0.0,0.0,0.066667,1,1,
5911,órbita,,0.47147,0.47147,0.0,0.45-0.50,2937.0,normal_vocab,noun,noun,,,,,,,,,orbit,3.8,1.0,0.333333,0.339829,0.0,0.0,0.0,0.0,0.02,1,1,
5912,legumbre,,0.471472,0.471472,0.0,0.45-0.50,19452.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",legume; vegetable,2.48,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.033333,2,1,
5913,previsto,,0.471507,0.471507,0.0,0.45-0.50,1057.0,normal_vocab,adjective,adjective,,,,,,,,,"expected, predicted",4.23,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.033333,1,1,
5914,estresante,,0.471547,0.471547,0.0,0.45-0.50,19911.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","stressful, nerve-racking",3.34,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.1,1,1,
5915,voltio,,0.471595,0.471595,0.0,0.45-0.50,19174.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",a volt (electrical),2.29,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5916,patente,,0.471615,0.471615,0.0,0.45-0.50,2900.0,normal_vocab,adjective,adjective,,,,,,,,,"patent; blatant, obvious; clear, clear-cut",4.11,1.0,0.333333,0.33666,0.255229,0.0,0.0,0.0,0.0,7,2,
5917,verruga,,0.471623,0.471623,0.0,0.45-0.50,19454.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","wart, verruca",2.54,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5918,inflar,,0.471636,0.471636,0.0,0.45-0.50,19715.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",to inflate; to hit,2.87,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,2,1,
5919,varicela,,0.471653,0.471653,0.0,0.45-0.50,20079.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",chicken pox,2.84,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.033333,1,1,
5920,captar,,0.471728,0.471728,0.0,0.45-0.50,4616.0,normal_vocab,verb,verb,,,,,,,,,"to capture, perceive, register, understand",3.88,1.0,0.333333,0.212295,0.0,0.0,0.0,0.0,0.0,1,1,
5921,decisivo,,0.47179,0.47179,0.0,0.45-0.50,2691.0,normal_vocab,adjective,adjective,,,,,,,,,"decisive; defining (e.g. a defining moment); crucial, critical, key, instrumental, vital",3.82,1.0,0.333333,0.309047,0.116358,0.0,0.0,0.0,0.033333,4,1,
5922,vacunar,,0.471836,0.471836,0.0,0.45-0.50,20760.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",to vaccinate,2.98,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5923,inspección,,0.471907,0.471907,0.0,0.45-0.50,3113.0,normal_vocab,noun,noun,,,,,,,,,inspection,4.05,1.0,0.333333,0.352055,0.0,0.0,0.0,0.0,0.12,1,1,
5924,diputado,,0.471913,0.471913,0.0,0.45-0.50,1054.0,normal_vocab,noun,noun,,,,,,,,,deputy; a representative in a legislative chamber,4.59,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.033333,2,1,
5925,yarda,,0.471968,0.471968,0.0,0.45-0.50,19281.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",english or american yard (unit of length); yard sale; yard (land),2.48,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,3,1,
5926,proporcionar,,0.472054,0.472054,0.0,0.45-0.50,2064.0,normal_vocab,verb,verb,,,,,,,,,"to provide, supply; to adapt, adjust; to proportion, set or render in proportion",4.21,1.0,0.333333,0.233958,0.090431,0.0,0.0,0.0,0.166667,4,1,
5927,trayectoria,,0.472064,0.472064,0.0,0.45-0.50,1648.0,normal_vocab,noun,noun,,,,,,,,,"trajectory; sequence of events of a professional career, artistic career, a social group, a war, etc.; course, path",4.24,1.0,0.333333,0.170528,0.051315,0.0,0.0,0.0,0.133333,3,1,
5928,dalia,,0.472069,0.472069,0.0,0.45-0.50,17101.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",dahlia,2.92,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5929,aspiradora,,0.472198,0.472198,0.0,0.45-0.50,21926.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","vacuum cleaner, vacuum, hoover",2.98,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.1,1,1,
5930,feriado,,0.472202,0.472202,0.0,0.45-0.50,18178.0,normal_vocab,adjective,adjective,,,,,,,,missing_translation,,3.74,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
5931,rector,,0.472236,0.472236,0.0,0.45-0.50,3029.0,normal_vocab,noun,noun,,,,,,,,,"governing, directing; rector",4.02,1.0,0.333333,0.352263,0.158779,0.0,0.0,0.0,0.0,2,2,
5932,cañería,,0.472253,0.472253,0.0,0.45-0.50,20761.0,normal_vocab,noun,noun,,,,,,,,,"length of tube, pipe or piping; drain",2.84,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.03,2,1,
5933,extinción,,0.472265,0.472265,0.0,0.45-0.50,3126.0,normal_vocab,noun,noun,,,,,,,,,extinction (the action of making or becoming extinct; annihilation),4.09,1.0,0.333333,0.348398,0.0,0.0,0.0,0.0,0.086667,1,1,
5934,superficial,,0.472314,0.472314,0.0,0.45-0.50,3574.0,normal_vocab,adjective,adjective,,,,,,,,,superficial; shallow (lacking substance),3.92,1.0,0.333333,0.389063,0.086698,0.0,0.0,0.0,0.133333,2,1,
5935,césar,,0.472339,0.472339,0.0,0.45-0.50,1520.0,normal_vocab,noun,noun,,,,,,,,,caesar; a male given name from latin; caesar (roman emperor),4.32,0.0,0.0,0.303195,0.159376,0.0,0.0,0.0,0.02,3,2,
5936,hinchar,,0.472368,0.472368,0.0,0.45-0.50,20501.0,normal_vocab,verb,verb,,,,,,,,marked_usage,"to inflate or fill with air or liquid; to swell, to grow tight as a result of enlarging; to pig out, stuff oneself (with food)",2.84,1.0,0.333333,0.0,0.0,0.0,0.0,1.0,0.0,7,1,"rare,vulgar"
5937,calmo,,0.472372,0.472372,0.0,0.45-0.50,17873.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",calm (at rest),2.95,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,1,1,
5938,conformidad,,0.472442,0.472442,0.0,0.45-0.50,1446.0,normal_vocab,noun,noun,,,,,,,,,conformity; compliance; shape,3.99,1.0,0.333333,0.133119,0.051315,0.0,0.0,0.0,0.133333,3,1,
5939,inauguración,,0.472552,0.472552,0.0,0.45-0.50,3097.0,normal_vocab,noun,noun,,,,,,,,,inauguration,4.17,1.0,0.333333,0.354985,0.0,0.0,0.0,0.0,0.186667,1,1,
5940,eficacia,,0.472599,0.472599,0.0,0.45-0.50,1485.0,normal_vocab,noun,noun,,,,,,,,,efficacy; effectiveness,4.13,1.0,0.333333,0.135979,0.02966,0.0,0.0,0.0,0.033333,2,1,
5941,desagradar,,0.472636,0.472636,0.0,0.45-0.50,20889.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","to displease, be disagreeable",1.76,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.1,1,1,
5942,tita,,0.472652,0.472652,0.0,0.45-0.50,14990.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","theta; the greek letter θ, θ; grandma; aunt",2.96,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.0,4,3,
5943,incrementar,,0.472723,0.472723,0.0,0.45-0.50,2483.0,normal_vocab,verb,verb,,,,,,,,,"to increment, to increase, to rise",4.02,1.0,0.333333,0.280135,0.0,0.0,0.0,0.0,0.133333,1,1,
5944,imponer,,0.472755,0.472755,0.0,0.45-0.50,1885.0,normal_vocab,verb,verb,,,,,,,,,"to impose, impress; to impose, enforce, foist; to enjoin",4.22,1.0,0.333333,0.203943,0.068095,0.0,0.0,0.0,0.0,4,1,
5945,exploración,,0.47276,0.47276,0.0,0.45-0.50,3474.0,normal_vocab,noun,noun,,,,,,,,marked_usage,exploration; scan,4.05,1.0,0.333333,0.362633,0.065957,0.0,0.0,1.0,0.153333,2,1,informal
5946,variación,,0.472768,0.472768,0.0,0.45-0.50,2669.0,normal_vocab,noun,noun,,,,,,,,,variation,3.91,1.0,0.333333,0.310967,0.0,0.0,0.0,0.0,0.086667,1,1,
5947,grandote,,0.472852,0.472852,0.0,0.45-0.50,20694.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",huge; grown-up,3.05,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.033333,2,1,
5948,denuncia,,0.472853,0.472853,0.0,0.45-0.50,1873.0,normal_vocab,noun,noun,,,,,,,,,"report, complaint",4.57,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.033333,1,1,
5949,arándano,,0.472886,0.472886,0.0,0.45-0.50,20161.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar","blueberry, bilberry, cranberry",2.65,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.053333,1,1,
5950,bibliografía,,0.472908,0.472908,0.0,0.45-0.50,1280.0,normal_vocab,noun,noun,,,,,,,,,bibliography,4.02,1.0,0.333333,0.085526,0.0,0.0,0.0,0.0,0.186667,1,1,
5951,alérgico,,0.472925,0.472925,0.0,0.45-0.50,20955.0,normal_vocab,other,other,,,,,,,,"pos_other,function_or_grammar",allergic,3.05,1.0,0.333333,0.0,0.0,0.65,1.0,0.0,0.053333,1,1,
